Desk,A desk or bureau is a piece of furniture with a flat table-style work surface used in a school office home or the like for academic professional or domestic activities such as reading writing or using equipment such as a computer. Desks often have one or more drawers compartments or pigeonholes to store items such as office supplies and papers. Desks are usually made of wood or metal although materials such as glass are sometimes seen. Some desks have the form of a table although usually only one side of a desk is suitable to sit at (there are some exceptions such as a partners desk) unlike most usual tables. Some desks do not have the form of a table for instance an armoire desk is a desk built within a large wardrobe-like cabinet and a portable desk is light enough to be placed on a person's lap
Computer monitor,A computer monitor is an output device that displays information in pictorial form. A monitor usually comprises the display device circuitry casing and power supply.The display device in modern monitors is typically a thin film transistor liquid crystal display (TFT-LCD) with LED backlighting having replaced cold-cathode fluorescent lamp (CCFL) backlighting.Older monitors used a cathode ray tube (CRT). Monitors are connected to the computer via VGA - Digital Visual Interface (DVI) - HDMI DisplayPort Thunderbolt - low-voltage differential signaling (LVDS) or other proprietary connectors and signals. Originally computer monitors were used for data processing while television receivers were used for entertainment.From the 1980s onwards computers (and their monitors) have been used for both data processing and entertainment  while televisions have implemented some computer functionality.The common aspect ratio of televisions and computer monitor has changed from 4:3 to 16:10 to 16:09. Modern computer monitors are easily interchangeable with conventional television sets.However, as computer monitors do not necessarily include components such as a television tuner and speakers it may not be possible to use a computer monitor as a television without external components.
Screen,A screen is an output device that displays information in pictorial form. A monitor usually comprises the display device circuitry casing and power supply.The display device in modern monitors is typically a thin film transistor liquid crystal display (TFT-LCD) with LED backlighting having replaced cold-cathode fluorescent lamp (CCFL) backlighting.Older monitors used a cathode ray tube (CRT). Monitors are connected to the computer via VGA - Digital Visual Interface (DVI) - HDMI DisplayPort Thunderbolt - low-voltage differential signaling (LVDS) or other proprietary connectors and signals. Originally computer monitors were used for data processing while television receivers were used for entertainment.From the 1980s onwards computers (and their monitors) have been used for both data processing and entertainment  while televisions have implemented some computer functionality.The common aspect ratio of televisions and computer monitor has changed from 4:3 to 16:10 to 16:09. Modern computer monitors are easily interchangeable with conventional television sets.However as computer monitors do not necessarily include components such as a television tuner and speakers it may not be possible to use a computer monitor as a television without external components.
Mobile Phone,A mobile phone - cell phone - or hand phone sometimes shortened to simply mobile - cell or just phone is a portable telephone that can make and receive calls over a radio frequency link while the user is moving within a telephone service area. The radio frequency link establishes a connection to the switching systems of a mobile phone operator which provides access to the public switched telephone network (PSTN). Modern mobile telephone services use a cellular network architecture and therefore mobile telephones are called cellular telephones or cell phones in North America.In addition to telephony, 2000s-era mobile phones support a variety of other services such as text messaging - MMS - email - Internet access short-range wireless communications (infrared - Bluetooth) business applications - video games and digital photography. Mobile phones offering only those capabilities are known as feature phones mobile phones which offer greatly advanced computing capabilities are referred to as smartphones.
Phone,A mobile phone - cell phone - or hand phone sometimes shortened to simply mobile - cell or just phone is a portable telephone that can make and receive calls over a radio frequency link while the user is moving within a telephone service area. The radio frequency link establishes a connection to the switching systems of a mobile phone operator which provides access to the public switched telephone network (PSTN). Modern mobile telephone services use a cellular network architecture and therefore mobile telephones are called cellular telephones or cell phones in North America.In addition to telephony, 2000s-era mobile phones support a variety of other services such as text messaging - MMS - email - Internet access short-range wireless communications (infrared - Bluetooth) business applications - video games and digital photography. Mobile phones offering only those capabilities are known as feature phones mobile phones which offer greatly advanced computing capabilities are referred to as smartphones.
Electronic device,Electrical equipment includes any machine powered by electricity. It usually consists of an enclosure a variety of electrical componentsand often a power switch. Examples of these include:1)Major appliance 2)Microcontroller 3)Small appliances
Paper,Paper is a thin material produced by pressing together moist fibres of cellulose pulp derived from wood rags or grasses and drying them into flexible sheets. It is a versatile material with many uses including writing-printing-packaging-cleaning-decorating  and a number of industrial and construction processes. Papers are essential in legal or non-legal documentation. The pulp papermaking process is said to have been developed in China during the early 2nd century CEpossibly as early as the year 105 CE by the Han court eunuch Cai Lun although the earliest archaeological fragments of paper derive from the 2nd century BCE in China. The modern pulp and paper industry is global with China leading its production and the United States right behind it.
Room,In a building a room is any space enclosed within four walls to which entry is possible only by a door that connects it either to a passageway-to another room-or to the outdoorsthat is large enough for several persons to move about and whose sizefixtures furnishings and sometimes placement within the building support the activity to be conducted in it.
Display device,A display device is an output device for presentation of information in visual or tactile form (the latter used for example in tactile electronic displays for blind people).When the input information that is supplied has an electrical signal the display is called an electronic display.
Chair,One of the basic pieces of furniture a chair is a type of seat. Its primary features are two pieces of a durable material attached as back and seat to one another at a 90° or slightly greater angle with usually the four corners of the horizontal seat attached in turn to four legs—or other parts of the seat's underside attached to three legs or to a shaft about which a four-arm turnstile on rollers can turn—strong enough to support the weight of a person who sits on the seat (usually wide and broad enough to hold the lower body from the buttocks almost to the knees) and leans against the vertical back (usually high and wide enough to support the back to the shoulder blades). The legs are typically high enough for the seated person's thighs and knees to form a 90° or lesser angle.Used in a number of rooms in homes (e.g. in living rooms-dining rooms) in schools and offices (with desks)  and in various other workplaceschairs may be made of wood-metal-or synthetic materials and either the seat alone or the entire chair may be padded or upholstered in various colors and fabrics.
